,min,mean,max
60,0.7070063694267515,0.7708598726114649,0.8280254777070064
63,0.7191780821917808,0.7660958904109589,0.815068493150685
66,0.6940298507462687,0.7619402985074627,0.8283582089552238
69,0.680327868852459,0.7598360655737706,0.8278688524590164
72,0.6909090909090909,0.7638636363636364,0.8545454545454545
75,0.6836734693877551,0.7579081632653061,0.8367346938775511
78,0.6436781609195402,0.7626436781609195,0.8505747126436781
81,0.64,0.766,0.8533333333333334
84,0.6507936507936508,0.7682539682539682,0.8571428571428571
87,0.6274509803921569,0.7617647058823529,0.9019607843137255
90,0.65,0.76,0.875
